id,price
1,696228.6875
2,704353.0625
3,469413.90625
4,389592.90625
5,1018511.4375
6,406317.09375
7,218130.859375
8,347170.625
9,319963.09375
10,532185.3125
11,1069520.125
12,382076.84375
13,1861273.875
14,555665.5
15,542204.75
16,1499316.375
17,530551.75
18,345559.03125
19,561626.9375
20,456986.71875
21,501522.09375
22,1307664.625
23,515473.46875
24,727071.0
25,298574.125
26,211353.390625
27,620199.3125
28,232251.46875
29,596600.625
30,156994.328125
31,781719.875
32,678185.125
33,444139.71875
34,157187.71875
35,278761.03125
36,224397.34375
37,298204.59375
38,657661.125
39,630089.5
40,776027.3125
41,658012.8125
42,474867.90625
43,873550.75
44,245724.71875
45,291561.875
46,453280.84375
47,385741.0625
48,863724.125
49,1057596.125
50,2948628.0
51,376064.25
52,861253.6875
53,755264.8125
54,327549.53125
55,531696.0625
56,491593.71875
57,526908.5
58,540449.3125
59,282195.09375
60,236575.8125
61,215917.171875
62,231183.15625
63,392095.28125
64,873527.5
65,288735.84375
66,562637.125
67,829596.5
68,297328.0
69,894492.125
70,611144.8125
71,418038.09375
72,467264.53125
73,666026.125
74,1105040.625
75,475101.59375
76,2999983.5
77,354569.125
78,676628.0
79,415715.71875
80,1664374.5
81,249980.078125
82,422546.78125
83,428319.34375
84,855050.375
85,369019.875
86,408518.5625
87,410647.1875
88,304784.40625
89,359316.46875
90,232380.375
91,540572.125
92,265944.6875
93,556578.25
94,468851.6875
95,870940.75
96,625340.875
97,1084464.125
98,421950.46875
99,690136.0
100,283474.28125
101,523800.34375
102,395812.125
103,283864.46875
104,324238.21875
105,269393.40625
106,778878.0625
107,662141.375
108,467904.28125
109,546808.0625
110,350536.9375
111,689992.75
112,522009.46875
113,302826.9375
114,432401.46875
115,290315.71875
116,354493.71875
117,270493.9375
118,980146.875
119,168033.4375
120,272396.9375
121,1012819.0625
122,374335.8125
123,363807.25
124,609881.375
125,294004.21875
126,285564.84375
127,645404.6875
128,800801.75
129,785255.9375
130,220604.578125
131,663123.6875
132,466655.90625
133,409807.6875
134,416301.46875
135,410159.59375
136,691585.0
137,1233422.25
138,307393.78125
139,552908.8125
140,766057.3125
141,699937.0
142,318982.5625
143,678685.0
144,591795.125
145,614491.0
146,793017.3125
147,1760981.0
148,319979.25
149,478491.25
150,1049452.125
151,1433034.5
152,1180989.5
153,311462.90625
154,910789.0
155,517916.40625
156,306953.40625
157,225126.34375
158,425979.1875
159,209535.625
160,515579.28125
161,617886.625
162,483463.84375
163,587336.125
164,543741.125
165,511015.78125
166,383810.9375
167,530604.875
168,579673.5
169,275519.4375
170,510832.78125
171,550963.25
172,612243.4375
173,178860.8125
174,288501.03125
175,427451.90625
176,249901.5
177,323341.625
178,436000.90625
179,417705.28125
180,184352.6875
181,665005.875
182,376442.59375
183,467939.03125
